한자,뜻,훈,음
舞,춤출 무,ぶ,まう、まい
霧,안개 무,む,きり
墨,먹 묵,ぼく,すみ
黙,잠잠할 묵,もく,だまる
文,글월 문,ぶん、もん,ふみ
門,문 문,もん,かど
聞,들을 문,ぶん、もん,きく、きこえる
問,물을 문,もん,とう、とん
蚊,모기 문,,か
紋,무늬 문,もん,
物,물건 물,ぶつ、もつ,もの
米,쌀 미,べい、まい,こめ
美,아름다울 미,び,うつくしい
味,맛 미,み,あじ、あじわう
未,아닐 미,み,
迷,미혹할 미,めい,まよう
尾,꼬리 미,び,お
弥,미륵 미,み,や
眉,눈썹 미,び、み,まゆ
微,작을 미,び,
謎,수수께끼 미,,なぞ
民,백성 민,みん,たみ
敏,민감할 민,びん,
密,빽빽할 밀,みつ,
蜜,꿀 밀,みつ,
博,넓을 박,はく、ばく,
朴,성씨 박,ぼく,
泊,머무를、 배 댈 박,はく,とまる、とめる
拍,칠 박,はく、ひょう,
迫,핍박할 박,はく,せまる
剝,벗길 박,はく,はがす、はぐ、はがれる、むく
舶,배 박,はく,
撲,칠 박,ぼく,
薄,엷을 박,はく,うすい、うすまる、うすめる、うすらぐ、うすれる、すすき、せまる
縛,얽을 박,ばく,しばる
半,반 반,はん,なかば
反,돌이킬 반,はん、ほん、たん,そる、そらす
返,돌이킬 반,へん,かえす、かえる
飯,밥 반,はん,ぬし
班,나눌 반,はん,
伴,짝 반,はん、ばん,ともなう
畔,밭두둑 반,はん,あぜ、ほとり
般,일반 반,はん,
斑,얼룩 반,はん,まだら、ぶち
搬,옮길 반,はん,
頒,나눌 반,はん,
盤,소반 반,ばん,
発,필 발,はつ,
抜,뽑을 발,ばつ,ぬかす、ぬく、ぬける、ぬかる
勃,우쩍 일어날 발,ぼつ,おこる
鉢,바리때 발,はち,
髪,터럭 발,はつ,かみ
方,모 방,ほう,かた
放,놓을 방,ほう,はなつ、はなれる、はなす、ほうる
訪,찾을 방,ほう,おとずれる、たずねる
防,막을 방,ぼう,ふせぐ
妨,방해할 방,ぼう,さまたげる
邦,나라 방,ほう,くに
芳,꽃다울 방,ほう,かんばしい、よし
坊,동네 방,ぼう、ぼっ,
房,방 방,ぼう,ふさ
肪,살찔 방,ぼう,
倣,본뜰 방,ほう,ならう
紡,길쌈 방,ぼう,つむぐ
傍,곁 방,ぼう,かたわら、そば
配,나눌 배,はい,くばる
倍,곱 배,ばい,
拝,절 배,はい,おがむ
背,등 배,はい,せ、せい、そむく、そむける
俳,배우 배,はい,
杯,잔 배,はい,さかずき
排,배척할 배,はい,
陪,모실 배,ばい,
培,배양할 배,ばい,つちかう
輩,무리 배,はい,
賠,물어줄 배,ばい,
白,흰 백,はく、びゃく,しる、しら、しろい
百,일백 백,ひゃく,
伯,맏 백,はく,
番,차례 번,ばん,
繁,번성할 번,はん,
煩,번거로울 번,はん、ぼん,わずらう、わずらわす、わずらわしい
藩,울타리 번,はん,まがき
翻,번역할 번,ほん,ひるがえる、ひるがえす
伐,칠 벌,ばつ,うつ、きる
罰,벌할 벌,ばつ、ばち,
閥,문벌 벌,ばつ,
犯,범할 범,はん,おかす
凡,무릇 범,はん、ぼん,およそ、すべて
氾,넘칠 범,はん,
汎,넓을 범,はん,
帆,돛 범,はん,ほ
範,법 범,はん,のり
法,법 법,ほう、ほっ、はっ,
壁,벽 벽,へき,かべ
癖,버릇 벽,へき,くせ
璧,구슬 벽,へき,
辺,가 변,へん,あたり、べ
変,변할 변,へん,かわる、かえる
弁,말씀 변,べん,
別,나눌 별,べつ,わかれる
病,병 병,びょう、へい,やむ、やまい
兵,병사 병,へい,
並,나란히 병,へい,なみ、ならべる、ならぶ、ならびに
丙,남녘 병,へい,
併,아우를 병,へい,あわせる、しかし
柄,자루 병,へい,え、がら、つか
瓶,병 병,びん,
塀,담 병,へい,
餅,떡 병,へい,もち
歩,걸음 보,ほ、ぶ、ふ,あるく、あゆむ
保,지킬 보,ほ,たもつ
報,갚을 보,ほう,しらせる、むくいる
宝,보배 보,ほう,たから
補,기울 보,ほ,おぎなう
普,넓을 보,ふ,
譜,족보 보,ふ,
服,옷 복,ふく,
福,복 복,ふく,
復,회복할 복、 다시 부,ふく,
複,겹칠 복,ふく,
腹,배 복,ふく,はら
伏,엎드릴 복,ふく,ふせる、ふす
僕,종 복,ぼく,
覆,뒤집힐 복、 덮을 부,ふく,おおう、くつがえす、くつがえる
本,근본 본,ほん,もと
棒,막대 봉,ぼう,
奉,받들 봉,ぶ、ほう,たてまつる
封,봉할 봉,ふう、ほう,
俸,녹 봉,ほう,
峰,봉우리 봉,ほう,みね
蜂,벌 봉,ほう,はち
縫,꿰맬 봉,ほう,ぬう
父,아비 부,ふ,ちち
負,질 부,ふ,まける、まかす、おう
部,떼 부,ぶ,べ
夫,지아비 부,ふ、ふう,おっと
付,줄 부,ふ,つく、つける
府,막을 부,ふ,
副,버금 부,ふく,
婦,며느리 부,ふ,
富,부유할 부,ふ、ふう,とむ、とみ
否,아닐 부,ひ,いな
扶,도울 부,ふ,おもむく
阜,언덕 부,ふ,
附,붙을 부,ふ,つく、つける
赴,갈 부,ふ,おもむく
訃,부고 부,ふ,
浮,뜰 부,ふ,うく、うかれる、うかぶ、うかべる
剖,쪼갤 부,ぼう,
釜,가마솥 부,ふ,かま
符,부호 부,ふ,
腐,썩을 부,ふ,くさる、くされる、くさらす
敷,펼 부,ふ,しく
賦,부세 부,ふ,
膚,살갗 부,ふ,はだ
簿,문서 부,ぼ,
北,북녘 북、 달아날 배,ほく,きた
分,나눌 분,ぶん、ふん、ぶ,わける、わかれる、わかる、わかつ
粉,가루 분,ふん,こ、こな
奮,떨칠 분,ふん,ふるう
奔,달릴 분,ほん、はしる,
盆,동이 분,ぼん,
紛,어지러울 분,ふん,まぎれる、まぎらす、まぎらわす、まぎらわしい
雰,눈날릴 분,ふん,
噴,뿜을 분,ふん,ふく
憤,분할 분,ふん,いきどおる
墳,무덤 분,ふん,
不,아니 불、 아니 부,ふ、ぶ,
仏,부처 불,ぶつ,ほとけ
払,떨칠 불,ふつ,はらう
崩,무너질 붕,ほう,くずれる、くずす
棚,사다리 붕,たな,
悲,슬플 비,ひ,かなしい、かなしむ
